PENGHANTAR,KRITIKAL,TIER,KTT
TRS 150KV BANGIL-BUMICOKRO,tidak,4,tidak
TRS 150KV BANGIL-GONDANGWETAN,ya,2,tidak
TRS 150KV BANGIL-PIER,ya,3,tidak
TRS 150KV BANYUWANGI-GILIMANUK,ya,,tidak
TRS 150KV BOJONEGORO-CEPU,tidak,3,tidak
TRS 150KV BONDOWOSO-SITUBONDO,tidak,2,tidak
TRS 150KV GONDANGWETAN-PIER,tidak,2,tidak
TRS 150KV GRATI-GONDANGWETAN,ya,1,tidak
TRS 150KV JEMBER-BONDOWOSO,tidak,3,tidak
TRS 150KV KEDIRI-BANARAN,ya,1,tidak
TRS 150KV KEDIRI-NEWTULUNGAGUNG,tidak,1,tidak
TRS 150KV KEREK-MLIWANG,tidak,2,tidak
TRS 150KV KEREK-SEMEN TUBAN,tidak,3,ya
TRS 150KV KRAKSAAN-GENDING,tidak,2,ya
TRS 150KV LAMONGAN-PACIRAN,tidak,1,tidak
TRS 150KV MANISREJO-NGAWI,tidak,5,tidak
TRS 150KV MANISREJO-PONOROGO,tidak,3,tidak
TRS 150KV NEW PACITAN-NEW PONOROGO,tidak,2,tidak
TRS 150KV NEWTULUNGAGUNG-NEWWLINGI,tidak,2,tidak
TRS 150KV PAITON-KRAKSAAN,tidak,1,tidak
TRS 150KV PAITON-NUSANTARA POWER,tidak,1,tidak
TRS 150KV PIER-PURWOSARI,tidak,3,tidak
TRS 150KV PLTP IJEN-BANYUWANGI,tidak,7,tidak
TRS 150KV PROBOLINGGO-KRAKSAAN,tidak,1,tidak
TRS 150KV PROBOLINGGO-LUMAJANG,tidak,3,tidak
TRS 150KV PURWOSARI-PAKIS,tidak,4,tidak
TRS 150KV SAMBIKEREP-GIS WARU,ya,2,tidak
TRS 150KV SITUBONDO-BANYUWANGI,ya,2,tidak
TRS 150KV SITUBONDO-PAITON,tidak,1,tidak
TRS 150KV SRAGEN-NGAWI,tidak,6,tidak
TRS 150kV ALTAPRIMA-SURABAYA BARAT,tidak,1,tidak
TRS 150kV ANTOSARI-NEGARA,tidak,2,tidak
TRS 150kV BABAT-BOJONEGORO,ya,2,tidak
TRS 150kV BALONGBENDO-SEKARPUTIH,tidak,2,tidak
TRS 150kV BANARAN-NEWNGANJUK,ya,2,tidak
TRS 150kV BANGKALAN-SAMPANG,ya,6,tidak
TRS 150kV BATURITI-GIANYAR,tidak,2,tidak
TRS 150kV BATURITI-PEMARON,tidak,1,tidak
TRS 150kV BUDURAN-SIDOARJO,tidak,5,tidak
TRS 150kV CELUKAN BAWANG-KAPAL,tidak,1,tidak
TRS 150kV CERME-LAMONGAN,tidak,3,tidak
TRS 150kV CERME-MANYAR,tidak,3,tidak
TRS 150kV CH GILIMANUK-GILIMANUK,ya,1,tidak
TRS 150kV CH PESANGGARAN-NUSA DUA,tidak,1,tidak
TRS 150kV DARMOGRANDE-WARU,ya,2,tidak
